ID		from		to
0	;	4295866034	;	4295885689
1	;	4295866034	;	5000013139
2	;	4295866034	;	5001170594
3	;	4295866034	;	4297035536
4	;	4295866034	;	5000089102
5	;	4295866034	;	4295894725
6	;	4295866034	;	4295859763
7	;	4295866034	;	5037363389
8	;	4295866034	;	5042963958
9	;	4295866034	;	4295905298
10	;	4295866034	;	4295894740
11	;	4295866034	;	4295912121
12	;	4295866034	;	5040251457
13	;	4295866034	;	4298283492
14	;	4295866034	;	4295904116
15	;	4295866034	;	4296540346
16	;	4295866034	;	4295894926
17	;	4295890743	;	5000778354
18	;	4295890743	;	4295873204
19	;	4295890743	;	4295867565
20	;	4295890743	;	4295877325
21	;	4295890743	;	4295860745
22	;	4295890743	;	4295869238
23	;	4295890743	;	4295890024
24	;	4295890743	;	4295904170
25	;	4295890743	;	4295871135
26	;	4295890743	;	5000472715
27	;	4295890743	;	4296730041
28	;	4295890743	;	4296648197
29	;	4295890743	;	5068339229
30	;	4295890743	;	4296836240
31	;	4295890743	;	5035939674
32	;	4295890743	;	5057957727
33	;	4295890743	;	4296367700
34	;	4295890743	;	4295903355
35	;	4295890743	;	4295881588
36	;	4295890743	;	4296572153
37	;	4295890743	;	4298524503
38	;	4295890743	;	5029074550
39	;	4295890743	;	5000075299
40	;	4295890743	;	4295912318
41	;	4295890743	;	4296909887
42	;	4295890743	;	4297647723
43	;	4295890743	;	5011289706
44	;	4295890743	;	4297945931
45	;	4295890743	;	5000492303
46	;	4295890743	;	4295882004
47	;	4295890743	;	4296676169
48	;	4295890743	;	4295902632
49	;	4295890743	;	4296359510
50	;	4295890743	;	4297604031
51	;	4295890743	;	4295885689
52	;	4295890743	;	4295866012
53	;	4295890743	;	4298163629
54	;	4295890743	;	4295889873
55	;	4295889303	;	5000062703
56	;	4295889303	;	4295863430
57	;	4295889303	;	4295894770
58	;	4295889303	;	4296758227
59	;	4295889303	;	5000890508
60	;	4295889303	;	4295889347
61	;	4295889303	;	5050699331
62	;	4295889303	;	5000024706
63	;	4295889303	;	4295899948
64	;	4295889303	;	4295869106
65	;	4295889303	;	4296602160
66	;	4295889303	;	4295863482
67	;	4295889303	;	4295875504
68	;	4295866829	;	4296059073
69	;	4295859200	;	4298321601
70	;	4295890511	;	4295904835
71	;	4295890511	;	4295867256
72	;	4295890511	;	4297248275
73	;	4295890511	;	5000108368
74	;	4295890511	;	4295882451
75	;	4295868725	;	4295898967
76	;	4295868725	;	5037636414
77	;	4295868725	;	5035708251
78	;	4295868725	;	4295890262
79	;	5036761033	;	4297297477
80	;	5044623340	;	4295874870
81	;	4295866410	;	5044028126
82	;	4295866410	;	4295886906
83	;	4295866410	;	4297632100
84	;	4295867366	;	5000068858
85	;	4295867366	;	4295889096
86	;	4295867366	;	4295908010
87	;	4295867366	;	5000135440
88	;	4295867366	;	4295903892
89	;	4295867366	;	4297908020
90	;	4295867366	;	5040046120
91	;	4295867366	;	5000006765
92	;	4295867366	;	4295864455
93	;	4295867366	;	5000089102
94	;	4295867366	;	5000915326
95	;	4295867366	;	4295869198
96	;	4295867366	;	4295887053
97	;	4295884955	;	4295866970
98	;	4295884955	;	5000746975
99	;	4295884955	;	4297598428
100	;	4295884955	;	4295903254
