ID		from		to
2828	;	600278 CH	;	900917 CH
2829	;	600335 CH	;	38 HK
2830	;	600335 CH	;	600710 CH
2831	;	600335 CH	;	900953 CH
2832	;	600626 CH	;	ITX SM
2833	;	600626 CH	;	PCAR US
2834	;	600653 CH	;	1148 HK
2835	;	600704 CH	;	000671 CH
2836	;	600704 CH	;	000905 CH
2837	;	600704 CH	;	002652 CH
2838	;	600704 CH	;	600820 CH
2839	;	600870 CH	;	2911 TT
2840	;	600870 CH	;	BBY US
2841	;	600870 CH	;	VIPS US
2842	;	600981 CH	;	002672 CH
2843	;	600981 CH	;	601377 CH
2844	;	7422 JP	;	8185 JP
2845	;	7422 JP	;	8227 JP
2846	;	7444 JP	;	7532 JP
2847	;	7444 JP	;	7649 JP
2848	;	7487 JP	;	3098 JP
2849	;	7552 JP	;	AMZN US
2850	;	8072 JP	;	AMZN US
2851	;	8101 JP	;	1382 HK
2852	;	811 HK	;	601801 CH
2853	;	8115 JP	;	3382 JP
2854	;	8283 JP	;	2651 JP
2855	;	8283 JP	;	2653 JP
2856	;	8283 JP	;	2664 JP
2857	;	8283 JP	;	2678 JP
2858	;	8283 JP	;	3088 JP
2859	;	8283 JP	;	3098 JP
2860	;	8283 JP	;	3191 JP
2861	;	8283 JP	;	3194 JP
2862	;	8283 JP	;	3382 JP
2863	;	8283 JP	;	3391 JP
2864	;	8283 JP	;	3549 JP
2865	;	8283 JP	;	7512 JP
2866	;	8283 JP	;	7516 JP
2867	;	8283 JP	;	7646 JP
2868	;	8283 JP	;	7649 JP
2869	;	8283 JP	;	8168 JP
2870	;	8283 JP	;	8267 JP
2871	;	8283 JP	;	9976 JP
2872	;	8283 JP	;	9989 JP
2873	;	860 HK	;	3389 HK
2874	;	9852 JP	;	7459 JP
2875	;	9852 JP	;	AMZN US
2876	;	AUTO SL	;	RHL SL
2877	;	BMM GR	;	B4B GR
2878	;	CORE US	;	MUSA US
2879	;	FNKO US	;	3382 JP
2880	;	FNKO US	;	ABF LN
2881	;	FNKO US	;	AMZN US
2882	;	FNKO US	;	BKS US
2883	;	FNKO US	;	CA FP
2884	;	FNKO US	;	COST US
2885	;	FNKO US	;	DG US
2886	;	FNKO US	;	FIVE US
2887	;	FNKO US	;	GME US
2888	;	FNKO US	;	TGT US
2889	;	FNKO US	;	TSCO LN
2890	;	FNKO US	;	WMT US
2891	;	GPC US	;	PCAR US
2892	;	GPC US	;	THBEV SP
2893	;	GPC US	;	VMC US
2894	;	GPC US	;	WCC US
2895	;	HBA AU	;	178 HK
2896	;	HBA AU	;	AD NA
2897	;	LKQ US	;	WCC US
2898	;	MICE IJ	;	AD NA
2899	;	MICE IJ	;	CA FP
2900	;	UPGS LN	;	1 HK
2901	;	UPGS LN	;	ABF LN
2902	;	UPGS LN	;	AMZN US
2903	;	UPGS LN	;	BME LN
2904	;	UPGS LN	;	CLS1 GR
2905	;	UPGS LN	;	COST US
2906	;	UPGS LN	;	DC/ LN
2907	;	UPGS LN	;	KGF LN
2908	;	UPGS LN	;	SBRY LN
2909	;	UPGS LN	;	SNH GR
2910	;	UPGS LN	;	STU LN
2911	;	UPGS LN	;	TSCO LN
2912	;	UPGS LN	;	WMT US
2913	;	UPGS LN	;	WOW AU
2914	;	000050 CH	;	000063 CH
2915	;	000050 CH	;	005930 KS
2916	;	000050 CH	;	034730 KS
2917	;	000050 CH	;	066570 KS
2918	;	000050 CH	;	161 HK
2919	;	000050 CH	;	1810 HK
2920	;	000050 CH	;	2038 HK
2921	;	000050 CH	;	2382 TT
2922	;	000050 CH	;	3231 TT
2923	;	000050 CH	;	4938 TT
2924	;	000050 CH	;	6758 JP
2925	;	000050 CH	;	8015 JP
2926	;	000050 CH	;	992 HK
2927	;	000050 CH	;	ARW US
2928	;	000050 CH	;	AVT US
2929	;	000050 CH	;	CON GR
2930	;	000050 CH	;	MSFT US
2931	;	000050 CH	;	SIE GR
2932	;	000636 CH	;	002449 CH
2933	;	000636 CH	;	009320 KS
2934	;	000636 CH	;	200541 CH
2935	;	000727 CH	;	000066 CH
2936	;	000727 CH	;	000733 CH
2937	;	000727 CH	;	438 HK
2938	;	000727 CH	;	903 HK
2939	;	000727 CH	;	DELL US
2940	;	000727 CH	;	VZIO US
2941	;	001820 KS	;	012330 KS
2942	;	001820 KS	;	015760 KS
2943	;	001820 KS	;	066570 KS
2944	;	001820 KS	;	128540 KS
2945	;	001820 KS	;	BWA US
2946	;	002036 CH	;	066570 KS
2947	;	002036 CH	;	2357 TT
2948	;	002055 CH	;	300303 CH
2949	;	002056 CH	;	ETN US
2950	;	002106 CH	;	2357 TT
2951	;	002106 CH	;	DELL US
2952	;	002134 CH	;	603712 CH
2953	;	002138 CH	;	002351 CH
2954	;	002139 CH	;	603626 CH
2955	;	002139 CH	;	BA/ LN
2956	;	002139 CH	;	BBD/B CN
2957	;	002139 CH	;	CMI US
2958	;	002139 CH	;	GD US
2959	;	002139 CH	;	HON US
2960	;	002139 CH	;	LMT US
2961	;	002139 CH	;	MOG/A US
2962	;	002139 CH	;	RR/ LN
2963	;	002139 CH	;	RS US
2964	;	002139 CH	;	SAF FP
2965	;	002139 CH	;	SKFB SS
2966	;	002139 CH	;	TXT US
2967	;	002179 CH	;	002190 CH
2968	;	002179 CH	;	300447 CH
2969	;	002199 CH	;	000063 CH
2970	;	002199 CH	;	002236 CH
2971	;	002199 CH	;	002415 CH
2972	;	002199 CH	;	005930 KS
2973	;	002199 CH	;	066570 KS
2974	;	002199 CH	;	1810 HK
2975	;	002199 CH	;	300433 CH
2976	;	002199 CH	;	600060 CH
2977	;	002199 CH	;	6502 JP
2978	;	002199 CH	;	6632 JP
2979	;	002199 CH	;	6752 JP
2980	;	002199 CH	;	6753 JP
2981	;	002199 CH	;	6758 JP
2982	;	002199 CH	;	7751 JP
2983	;	002199 CH	;	DIOD US
2984	;	002217 CH	;	066570 KS
2985	;	002217 CH	;	200761 CH
2986	;	002217 CH	;	600203 CH
2987	;	002273 CH	;	000063 CH
2988	;	002273 CH	;	002456 CH
2989	;	002273 CH	;	005930 KS
2990	;	002273 CH	;	1810 HK
2991	;	002273 CH	;	2498 TT
2992	;	002273 CH	;	300256 CH
2993	;	002273 CH	;	3362 TT
2994	;	002273 CH	;	3630 TT
2995	;	002273 CH	;	6209 TT
2996	;	002273 CH	;	992 HK
2997	;	002273 CH	;	AAPL US
2998	;	002281 CH	;	600345 CH
2999	;	002288 CH	;	000333 CH
3000	;	002288 CH	;	002475 CH
3001	;	002288 CH	;	002579 CH
3002	;	002288 CH	;	002636 CH
3003	;	002288 CH	;	002815 CH
3004	;	002288 CH	;	002913 CH
3005	;	002288 CH	;	2308 TT
3006	;	002288 CH	;	2385 TT
3007	;	002288 CH	;	2408 TT
3008	;	002288 CH	;	300207 CH
3009	;	002288 CH	;	300476 CH
3010	;	002288 CH	;	3044 TT
3011	;	002288 CH	;	320 HK
3012	;	002288 CH	;	600183 CH
3013	;	002288 CH	;	603228 CH
3014	;	002288 CH	;	603328 CH
3015	;	002288 CH	;	603515 CH
3016	;	002288 CH	;	6752 JP
3017	;	002288 CH	;	OSR GR
3018	;	002288 CH	;	PHIA NA
3019	;	002384 CH	;	002635 CH
3020	;	002384 CH	;	JSHL IN
3021	;	002384 CH	;	JSW IN
3022	;	002384 CH	;	MSFT US
3023	;	002389 CH	;	066570 KS
3024	;	002389 CH	;	600135 CH
3025	;	002402 CH	;	2010 TT
3026	;	002436 CH	;	036540 KS
3027	;	002436 CH	;	522 HK
3028	;	002449 CH	;	002137 CH
3029	;	002449 CH	;	066570 KS
3030	;	002449 CH	;	200541 CH
3031	;	002456 CH	;	000063 CH
3032	;	002456 CH	;	005930 KS
3033	;	002456 CH	;	066570 KS
3034	;	002456 CH	;	1169 HK
3035	;	002456 CH	;	1810 HK
3036	;	002456 CH	;	2353 TT
3037	;	002456 CH	;	2357 TT
3038	;	002456 CH	;	3231 TT
3039	;	002456 CH	;	600060 CH
3040	;	002456 CH	;	6752 JP
3041	;	002456 CH	;	6758 JP
3042	;	002456 CH	;	992 HK
3043	;	002456 CH	;	AAPL US
3044	;	002456 CH	;	AMZN US
3045	;	002456 CH	;	APTV US
3046	;	002456 CH	;	GOOGL US
3047	;	002456 CH	;	HPQ US
3048	;	002456 CH	;	VC US
3049	;	002463 CH	;	5014 TT
3050	;	002463 CH	;	600456 CH
3051	;	002463 CH	;	600691 CH
3052	;	002463 CH	;	601001 CH
3053	;	002463 CH	;	AP US
3054	;	002463 CH	;	HSC US
3055	;	002475 CH	;	000932 CH
3056	;	002475 CH	;	002204 CH
3057	;	002475 CH	;	ARW US
3058	;	002475 CH	;	MSFT US
3059	;	002579 CH	;	066570 KS
3060	;	002579 CH	;	EMR US
3061	;	002600 CH	;	000270 KS
3062	;	002600 CH	;	005380 KS
3063	;	002600 CH	;	3508 TT
3064	;	002600 CH	;	7201 JP
3065	;	002600 CH	;	7267 JP
3066	;	002600 CH	;	BMW GR
3067	;	002600 CH	;	EO FP
3068	;	002600 CH	;	NUE US
3069	;	002600 CH	;	STLD US
3070	;	002600 CH	;	TEN US
3071	;	002600 CH	;	TSLA US
3072	;	002600 CH	;	VOW GR
3073	;	002600 CH	;	WOR US
3074	;	002600 CH	;	X US
3075	;	002636 CH	;	3115 TT
3076	;	002654 CH	;	002400 CH
3077	;	002654 CH	;	700 HK
3078	;	002655 CH	;	000063 CH
3079	;	002655 CH	;	000100 CH
3080	;	002655 CH	;	005930 KS
3081	;	002655 CH	;	175 HK
3082	;	002655 CH	;	7751 JP
3083	;	002655 CH	;	8101 TT
3084	;	002655 CH	;	992 HK
3085	;	002655 CH	;	AMZN US
3086	;	002655 CH	;	SIE GR
3087	;	002729 CH	;	ARW US
3088	;	002815 CH	;	EMR US
3089	;	002841 CH	;	002392 CH
3090	;	002897 CH	;	2357 TT
3091	;	002916 CH	;	000050 CH
3092	;	002916 CH	;	000063 CH
3093	;	002916 CH	;	000977 CH
3094	;	002916 CH	;	002241 CH
3095	;	002916 CH	;	005930 KS
3096	;	002916 CH	;	1211 HK
3097	;	002916 CH	;	3711 TT
3098	;	002916 CH	;	600584 CH
3099	;	002916 CH	;	601138 CH
3100	;	002916 CH	;	603019 CH
3101	;	002916 CH	;	992 HK
3102	;	002916 CH	;	AMKR US
3103	;	002916 CH	;	FLEX US
3104	;	002916 CH	;	GE US
3105	;	002916 CH	;	HON US
3106	;	002916 CH	;	NOKIA FH
3107	;	002916 CH	;	RTX US
3108	;	002916 CH	;	SHL GR
3109	;	002938 CH	;	3062 TT
3110	;	002938 CH	;	ENB CN
3111	;	002938 CH	;	KRAS IJ
3112	;	006400 KS	;	033170 KS
3113	;	006400 KS	;	036540 KS
3114	;	006400 KS	;	200725 CH
3115	;	006400 KS	;	2409 TT
3116	;	006400 KS	;	3149 TT
3117	;	006400 KS	;	4931 TT
3118	;	006400 KS	;	ASL GR
3119	;	006400 KS	;	BMW GR
3120	;	006400 KS	;	DAI GR
3121	;	006400 KS	;	DELL US
3122	;	006400 KS	;	F US
3123	;	006400 KS	;	HOG US
3124	;	006400 KS	;	HPQ US
3125	;	006400 KS	;	MSFT US
3126	;	006400 KS	;	VOLVB SS
3127	;	006400 KS	;	VOW GR
3128	;	007810 KS	;	000660 KS
3129	;	007810 KS	;	005930 KS
3130	;	007810 KS	;	010130 KS
3131	;	007810 KS	;	033170 KS
3132	;	007810 KS	;	036540 KS
3133	;	007810 KS	;	097800 KS
3134	;	007810 KS	;	105550 KS
3135	;	007810 KS	;	192650 KS
3136	;	007810 KS	;	6239 TT
3137	;	007810 KS	;	6278 TT
3138	;	007810 KS	;	MU US
3139	;	007810 KS	;	WDC US
3140	;	008060 KS	;	011070 KS
3141	;	008060 KS	;	045970 KS
3142	;	008060 KS	;	091700 KS
3143	;	008060 KS	;	122990 KS
3144	;	009150 KS	;	000660 KS
3145	;	009150 KS	;	006400 KS
3146	;	009150 KS	;	033170 KS
3147	;	009150 KS	;	034220 KS
3148	;	009150 KS	;	036540 KS
3149	;	009150 KS	;	066570 KS
3150	;	009150 KS	;	1810 HK
3151	;	009150 KS	;	3702 TT
3152	;	009150 KS	;	600584 CH
3153	;	009150 KS	;	6967 JP
3154	;	009150 KS	;	AMKR US
3155	;	009150 KS	;	ARW US
3156	;	009150 KS	;	AVT US
3157	;	009150 KS	;	DELL US
3158	;	009150 KS	;	INTC US
3159	;	009150 KS	;	MSFT US
3160	;	009150 KS	;	STX US
3161	;	009150 KS	;	TSLA US
3162	;	011070 KS	;	001120 KS
3163	;	011070 KS	;	012330 KS
3164	;	011070 KS	;	032640 KS
3165	;	011070 KS	;	034220 KS
3166	;	011070 KS	;	036540 KS
3167	;	011070 KS	;	051910 KS
3168	;	011070 KS	;	108320 KS
3169	;	011070 KS	;	108670 KS
3170	;	011070 KS	;	204320 KS
3171	;	011070 KS	;	226350 KS
3172	;	011070 KS	;	4961 TT
3173	;	011070 KS	;	AAPL US
3174	;	011070 KS	;	ARW US
3175	;	011070 KS	;	GM US
3176	;	011070 KS	;	SWKS US
3177	;	011230 KS	;	128540 KS
3178	;	012340 KS	;	066570 KS
3179	;	020150 KS	;	005930 KS
3180	;	020150 KS	;	006400 KS
3181	;	020150 KS	;	007810 KS
3182	;	020150 KS	;	009150 KS
3183	;	020150 KS	;	020760 KS
3184	;	020150 KS	;	030200 KS
3185	;	020150 KS	;	051370 KS
3186	;	020150 KS	;	051910 KS
3187	;	020150 KS	;	066570 KS
3188	;	020150 KS	;	1211 HK
3189	;	020150 KS	;	300750 CH
3190	;	020150 KS	;	6758 JP
3191	;	020150 KS	;	6981 JP
3192	;	026890 KS	;	066570 KS
3193	;	026890 KS	;	233250 KS
3194	;	033180 KS	;	066570 KS
3195	;	033180 KS	;	174880 KS
3196	;	033180 KS	;	226360 KS
3197	;	033240 KS	;	005380 KS
3198	;	033240 KS	;	005930 KS
3199	;	033240 KS	;	091700 KS
3200	;	033240 KS	;	190510 KS
3201	;	034220 KS	;	005380 KS
3202	;	034220 KS	;	011070 KS
3203	;	034220 KS	;	052330 KS
3204	;	034220 KS	;	066570 KS
3205	;	034220 KS	;	200016 CH
3206	;	034220 KS	;	2357 TT
3207	;	034220 KS	;	600839 CH
3208	;	034220 KS	;	6752 JP
3209	;	034220 KS	;	6758 JP
3210	;	034220 KS	;	751 HK
3211	;	034220 KS	;	9831 JP
3212	;	034220 KS	;	992 HK
3213	;	034220 KS	;	AAPL US
3214	;	034220 KS	;	AMZN US
3215	;	034220 KS	;	AVT US
3216	;	034220 KS	;	DELL US
3217	;	034220 KS	;	GM US
3218	;	034220 KS	;	HPQ US
3219	;	034220 KS	;	TSLA US
3220	;	036010 KS	;	066570 KS
3221	;	036710 KS	;	000660 KS
3222	;	036710 KS	;	005930 KS
3223	;	036710 KS	;	033170 KS
3224	;	036710 KS	;	MU US
3225	;	037950 KS	;	078650 KS
3226	;	042600 KS	;	066570 KS
3227	;	042600 KS	;	066970 KS
3228	;	043260 KS	;	001820 KS
3229	;	043260 KS	;	004710 KS
3230	;	043260 KS	;	009450 KS
3231	;	043260 KS	;	011070 KS
3232	;	043260 KS	;	300870 CH
3233	;	043260 KS	;	600060 CH
3234	;	043260 KS	;	SPRS US
3235	;	043590 KS	;	000990 KS
3236	;	043590 KS	;	011070 KS
3237	;	043590 KS	;	066570 KS
3238	;	045970 KS	;	005930 KS
3239	;	045970 KS	;	097520 KS
3240	;	049630 KS	;	045970 KS
3241	;	049630 KS	;	066570 KS
3242	;	049630 KS	;	097520 KS
3243	;	050110 KS	;	005930 KS
3244	;	050110 KS	;	118990 KS
3245	;	050110 KS	;	6752 JP
3246	;	050110 KS	;	VESTL TI
3247	;	051370 KS	;	005930 KS
3248	;	051370 KS	;	034220 KS
3249	;	051370 KS	;	200725 CH
3250	;	051370 KS	;	2382 HK
3251	;	051370 KS	;	AAPL US
3252	;	053450 KS	;	226350 KS
3253	;	054040 KS	;	010120 KS
3254	;	054040 KS	;	038060 KS
3255	;	054040 KS	;	052600 KS
3256	;	054040 KS	;	089150 KS
3257	;	065680 KS	;	128540 KS
3258	;	066970 KS	;	006400 KS
3259	;	066970 KS	;	051910 KS
3260	;	076610 KS	;	002415 CH
3261	;	076610 KS	;	170900 KS
3262	;	076610 KS	;	ARW US
3263	;	078600 KS	;	001820 KS
3264	;	078600 KS	;	009150 KS
3265	;	078600 KS	;	011070 KS
3266	;	080420 KS	;	053590 KS
3267	;	080420 KS	;	066570 KS
3268	;	080440 KS	;	030200 KS
3269	;	080440 KS	;	032640 KS
3270	;	082210 KS	;	009150 KS
3271	;	082210 KS	;	047310 KS
3272	;	082210 KS	;	076610 KS
3273	;	082210 KS	;	091700 KS
3274	;	082210 KS	;	097520 KS
3275	;	082210 KS	;	101390 KS
3276	;	082210 KS	;	101400 KS
3277	;	082210 KS	;	123010 KS
3278	;	082210 KS	;	226350 KS
3279	;	082660 KS	;	005930 KS
3280	;	085670 KS	;	045970 KS
3281	;	085670 KS	;	226350 KS
3282	;	089010 KS	;	005290 KS
3283	;	089010 KS	;	011070 KS
3284	;	089010 KS	;	066570 KS
3285	;	089980 KS	;	4902 JP
3286	;	090460 KS	;	005930 KS
3287	;	090460 KS	;	006400 KS
3288	;	090460 KS	;	011070 KS
3289	;	090460 KS	;	020760 KS
3290	;	090460 KS	;	054210 KS
3291	;	090460 KS	;	066570 KS
3292	;	090460 KS	;	091700 KS
3293	;	090460 KS	;	097520 KS
3294	;	090460 KS	;	122900 KS
3295	;	090460 KS	;	5803 JP
3296	;	090460 KS	;	6501 JP
3297	;	090460 KS	;	6740 JP
3298	;	090460 KS	;	6758 JP
3299	;	090460 KS	;	6804 JP
3300	;	090460 KS	;	6971 JP
3301	;	090460 KS	;	DELL US
3302	;	090460 KS	;	MCHP US
3303	;	090460 KS	;	ORCL US
3304	;	090460 KS	;	STM FP
3305	;	091120 KS	;	066570 KS
3306	;	091700 KS	;	005930 KS
3307	;	091700 KS	;	012330 KS
3308	;	091700 KS	;	066570 KS
3309	;	091700 KS	;	204320 KS
3310	;	091700 KS	;	992 HK
3311	;	092300 KS	;	034220 KS
3312	;	092300 KS	;	066570 KS
3313	;	093920 KS	;	005930 KS
3314	;	093920 KS	;	030200 KS
3315	;	093920 KS	;	051910 KS
3316	;	093920 KS	;	CHTR US
3317	;	093920 KS	;	CSCO US
3318	;	093920 KS	;	MTSS RM
3319	;	093920 KS	;	NOKIA FH
3320	;	093920 KS	;	SIE GR
3321	;	097520 KS	;	000150 KS
3322	;	097520 KS	;	003620 KS
3323	;	097520 KS	;	064960 KS
3324	;	097520 KS	;	066570 KS
3325	;	097520 KS	;	175 HK
3326	;	097520 KS	;	204320 KS
3327	;	097520 KS	;	2324 TT
3328	;	097520 KS	;	2353 TT
3329	;	097520 KS	;	2382 TT
3330	;	097520 KS	;	6702 JP
3331	;	097520 KS	;	6753 JP
3332	;	097520 KS	;	6758 JP
3333	;	097520 KS	;	8015 JP
3334	;	097520 KS	;	INTC US
3335	;	097520 KS	;	MSFT US
3336	;	097520 KS	;	QCOM US
3337	;	097520 KS	;	VZ US
3338	;	097780 KS	;	4005 JP
3339	;	101390 KS	;	000100 CH
3340	;	101390 KS	;	005930 KS
3341	;	101390 KS	;	009150 KS
3342	;	101390 KS	;	066570 KS
3343	;	101390 KS	;	5225 TT
3344	;	101390 KS	;	6758 JP
3345	;	106080 KS	;	097520 KS
3346	;	106520 KS	;	045970 KS
3347	;	106520 KS	;	047310 KS
3348	;	106520 KS	;	066570 KS
3349	;	106520 KS	;	097520 KS
3350	;	106520 KS	;	101390 KS
3351	;	106520 KS	;	122900 KS
3352	;	106520 KS	;	600710 CH
3353	;	106520 KS	;	6997 JP
3354	;	114120 KS	;	082660 KS
3355	;	122990 KS	;	000063 CH
3356	;	122990 KS	;	005930 KS
3357	;	122990 KS	;	066570 KS
3358	;	122990 KS	;	1810 HK
3359	;	126340 KS	;	009540 KS
3360	;	131400 KS	;	011070 KS
3361	;	131400 KS	;	034220 KS
3362	;	131400 KS	;	066570 KS
3363	;	1415 HK	;	066570 KS
3364	;	148 HK	;	ELEC SP
3365	;	149950 KS	;	066570 KS
3366	;	151910 KS	;	078650 KS
3367	;	151910 KS	;	097520 KS
3368	;	151910 KS	;	101390 KS
3369	;	151910 KS	;	176440 KS
3370	;	151910 KS	;	6479 JP
3371	;	151910 KS	;	732 HK
3372	;	1582 TT	;	2357 TT
3373	;	1582 TT	;	DELL US
3374	;	1639 HK	;	002241 CH
3375	;	1639 HK	;	066670 KS
3376	;	176440 KS	;	005930 KS
3377	;	176440 KS	;	046400 KF
3378	;	187270 KS	;	066570 KS
3379	;	1888 HK	;	148 HK
3380	;	1888 HK	;	6902 JP
3381	;	1888 HK	;	6963 JP
3382	;	1888 HK	;	7261 JP
3383	;	1888 HK	;	7267 JP
3384	;	1888 HK	;	7269 JP
3385	;	1888 HK	;	7270 JP
3386	;	1888 HK	;	7485 JP
3387	;	1888 HK	;	9020 JP
3388	;	1888 HK	;	9022 JP
3389	;	1888 HK	;	9501 JP
3390	;	1888 HK	;	9503 JP
3391	;	1888 HK	;	BMW GR
3392	;	1888 HK	;	GM US
3393	;	1888 HK	;	STLA US
3394	;	190510 KS	;	005930 KS
3395	;	190510 KS	;	066570 KS
3396	;	191410 KS	;	034220 KS
3397	;	191410 KS	;	066570 KS
3398	;	196450 KS	;	045970 KS
3399	;	196450 KS	;	214310 KS
3400	;	200045 CH	;	000050 CH
3401	;	200045 CH	;	4546 TT
3402	;	200045 CH	;	4960 TT
3403	;	200045 CH	;	AIR FP
3404	;	200045 CH	;	BA/ LN
3405	;	200045 CH	;	BAYN GR
3406	;	200045 CH	;	CAT US
3407	;	200045 CH	;	DD US
3408	;	200045 CH	;	DOW US
3409	;	200045 CH	;	LDO IM
3410	;	200045 CH	;	LLY US
3411	;	200045 CH	;	SAF FP
3412	;	200045 CH	;	SIE GR
3413	;	200045 CH	;	SPR US
3414	;	200045 CH	;	TXT US
3415	;	200413 CH	;	5401 JP
3416	;	200413 CH	;	6326 JP
3417	;	200413 CH	;	6473 JP
3418	;	200413 CH	;	7012 JP
3419	;	200413 CH	;	7013 JP
3420	;	200413 CH	;	7211 JP
3421	;	200413 CH	;	7259 JP
3422	;	200413 CH	;	7261 JP
3423	;	200413 CH	;	7269 JP
3424	;	200413 CH	;	7270 JP
3425	;	200413 CH	;	7272 JP
3426	;	200413 CH	;	BBD/B CN
3427	;	200413 CH	;	CAT US
3428	;	200413 CH	;	RTX US
3429	;	200725 CH	;	000063 CH
3430	;	200725 CH	;	002429 CH
3431	;	200725 CH	;	005930 KS
3432	;	200725 CH	;	066570 KS
3433	;	200725 CH	;	200016 CH
3434	;	200725 CH	;	2357 TT
3435	;	200725 CH	;	2382 TT
3436	;	200725 CH	;	2405 TT
3437	;	200725 CH	;	600060 CH
3438	;	200725 CH	;	8112 TT
3439	;	200725 CH	;	903 HK
3440	;	200725 CH	;	AAPL US
3441	;	200725 CH	;	ARW US
3442	;	200725 CH	;	BABA US
3443	;	200725 CH	;	DELL US
3444	;	200725 CH	;	HPQ US
3445	;	200725 CH	;	JD US
3446	;	200725 CH	;	VZIO US
3447	;	200725 CH	;	WDI GR
3448	;	208710 KS	;	078650 KS
3449	;	208710 KS	;	101390 KS
3450	;	219130 KS	;	092870 KS
3451	;	219130 KS	;	122640 KS
3452	;	219130 KS	;	131290 KS
3453	;	219130 KS	;	3581 TT
3454	;	219130 KS	;	6683 TT
3455	;	226350 KS	;	037400 KS
3456	;	226350 KS	;	217820 KS
3457	;	2308 TT	;	5465 TT
3458	;	2308 TT	;	6230 TT
3459	;	2308 TT	;	7201 JP
3460	;	2308 TT	;	7270 JP
3461	;	2308 TT	;	941 HK
3462	;	2308 TT	;	ACX SM
3463	;	2308 TT	;	ARW US
3464	;	2308 TT	;	CNXN US
3465	;	2308 TT	;	DELL US
3466	;	2308 TT	;	DELTA TB
3467	;	2308 TT	;	ETN US
3468	;	2308 TT	;	EXTR US
3469	;	2308 TT	;	KCO GR
3470	;	2308 TT	;	MSFT US
3471	;	2308 TT	;	TSLA US
3472	;	2308 TT	;	VOW GR
3473	;	2313 TT	;	MSFT US
3474	;	2316 TT	;	2357 TT
3475	;	2327 TT	;	005930 KS
3476	;	2327 TT	;	012330 KS
3477	;	2327 TT	;	066570 KS
3478	;	2327 TT	;	2317 TT
3479	;	2327 TT	;	2324 TT
3480	;	2327 TT	;	2356 TT
3481	;	2327 TT	;	2382 TT
3482	;	2327 TT	;	3231 TT
3483	;	2327 TT	;	4938 TT
3484	;	2327 TT	;	6902 JP
3485	;	2327 TT	;	AAPL US
3486	;	2327 TT	;	ARW US
3487	;	2327 TT	;	AVT US
3488	;	2327 TT	;	BRK/A US
3489	;	2327 TT	;	DELL US
3490	;	2327 TT	;	FLEX US
3491	;	2327 TT	;	HPQ US
3492	;	2327 TT	;	INTC US
3493	;	2327 TT	;	SIE GR
3494	;	2327 TT	;	TSLA US
3495	;	2328 TT	;	2354 TT
3496	;	2328 TT	;	600150 CH
3497	;	2328 TT	;	6456 TT
3498	;	2355 TT	;	003030 KS
3499	;	2355 TT	;	032640 KS
3500	;	2355 TT	;	217820 KS
3501	;	2355 TT	;	CFX US
3502	;	2359 TT	;	2312 TT
3503	;	2359 TT	;	5432 TT
3504	;	2368 TT	;	DELL US
3505	;	2375 TT	;	2357 TT
3506	;	2382 HK	;	000063 CH
3507	;	2382 HK	;	000100 CH
3508	;	2382 HK	;	005930 KS
3509	;	2382 HK	;	091700 KS
3510	;	2382 HK	;	1810 HK
3511	;	2382 HK	;	2301 TT
3512	;	2382 HK	;	300184 CH
3513	;	2382 HK	;	6702 JP
3514	;	2382 HK	;	6752 JP
3515	;	2382 HK	;	6753 JP
3516	;	2382 HK	;	6758 JP
3517	;	2382 HK	;	7203 JP
3518	;	2382 HK	;	732 HK
3519	;	2382 HK	;	992 HK
3520	;	2382 HK	;	F US
3521	;	2382 HK	;	GM US
3522	;	2382 HK	;	GOOGL US
3523	;	2382 HK	;	STLA US
3524	;	2382 HK	;	VOW GR
3525	;	2383 TT	;	007810 KS
3526	;	2383 TT	;	011070 KS
3527	;	2392 TT	;	000660 KS
3528	;	2392 TT	;	002241 CH
3529	;	2392 TT	;	002475 CH
3530	;	2392 TT	;	005930 KS
3531	;	2392 TT	;	2442 TT
3532	;	2392 TT	;	4523 TT
3533	;	2392 TT	;	AAPL US
3534	;	2392 TT	;	HPQ US
3535	;	2392 TT	;	MSFT US
3536	;	2392 TT	;	TSLA US
3537	;	2392 TT	;	ZAGG US
3538	;	2402 TT	;	ARW US
3539	;	2409 TT	;	005490 KS
3540	;	2409 TT	;	005930 KS
3541	;	2409 TT	;	066570 KS
3542	;	2409 TT	;	3168 TT
3543	;	2409 TT	;	8076 TT
3544	;	2409 TT	;	ALFA SG
3545	;	2409 TT	;	ARW US
3546	;	2409 TT	;	AVT US
3547	;	2409 TT	;	DELL US
3548	;	2409 TT	;	FRD US
3549	;	2409 TT	;	NWPX US
3550	;	2428 TT	;	000630 CH
3551	;	2428 TT	;	000709 CH
3552	;	2428 TT	;	000878 CH
3553	;	2428 TT	;	000898 CH
3554	;	2428 TT	;	000932 CH
3555	;	2428 TT	;	1088 HK
3556	;	2428 TT	;	2338 HK
3557	;	2428 TT	;	2600 HK
3558	;	2428 TT	;	600019 CH
3559	;	2428 TT	;	600022 CH
3560	;	2428 TT	;	601117 CH
3561	;	2428 TT	;	601766 CH
3562	;	2428 TT	;	902 HK
3563	;	2456 TT	;	036010 KS
3564	;	2456 TT	;	2354 TT
3565	;	2456 TT	;	2357 TT
3566	;	2456 TT	;	6146 TT
3567	;	2456 TT	;	ARW US
3568	;	2456 TT	;	MSFT US
3569	;	2472 TT	;	ARW US
